"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","part","slider_start","ID","set_ID","prob","amount","last_location","actual_choice","actual_EV","binary_id","trinary_id","catch","A_key","D_key","choice_prob","choice_amount","potential_prize_prob","potential_prize_amount","won_prize","total_prize","remaining_budget","accuracy"
"true","false","[]","[]","[]","preload","0","4","0.0-0.0","53c4bcc9-a8d9-4849-94e3-b2a14024f5a7","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","15196","0.0-1.0","53c4bcc9-a8d9-4849-94e3-b2a14024f5a7","null","
          <h1>שלום וברוכים הבאים!</h1>
          <p>לפניכם ניסוי בקבלת החלטות עם שני חלקים.
          <br><br>לחצו על העכבר כדי להמשיך.</p>","0","example","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","20412","0.0-2.0","53c4bcc9-a8d9-4849-94e3-b2a14024f5a7","null","
        <h1>חלק 1</h1>
        <p>בקרוב יוצגו בפניכם הגרלות.
        <br>עליכם לבחור את המחיר המירבי שתהיו מוכנים לשלם כדי להשתתף בהגרלה שתוצג.
        <br>יש לכם תקציב של ₪80 לכל הגרלה. 
        <br>נסו להעריך כל הגרלה בנפרד ולחשוב כמה היא שווה עבורכם, ₪80 זמינים לכל הגרלה בנפרד.
        <br><br>לחצו על העכבר כדי להמשיך.</p>","1","instructions","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","24741","0.0-3.0","53c4bcc9-a8d9-4849-94e3-b2a14024f5a7","null","
        <p>בסוף הניסוי, המחשב יבחר את אחת ההגרלות ויקבע מחיר לכרטיס עבורה. 
        <br>במידה והמחיר שבחרתם נמוך מהמחיר שנבחר על ידי המחשב, לא תשתתפו בהגרלה ותשארו עם מלוא התקציב.
        <br>במידה והמחיר שבחרתם גבוה מהמחיר שנבחר על ידי המחשב, תשלמו את המחיר שנקבע ותשתתפו בהגרלה.
        <br><br>לחצו על העכבר כדי להמשיך.</p>","1","instructions","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","4","36724","0.0-4.0","53c4bcc9-a8d9-4849-94e3-b2a14024f5a7","11881","
        <p style=""font-size: 42px;"">נתחיל עם דוגמא: 
        <br>ההגרלה מטה מציעה 65% סיכוי לזכות ב-₪40 
        <br>&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&ensp;35% סיכוי לזכות ב-₪0.
        <br><br>מה המחיר המירבי שתהיו מוכנים לשלם על כרטיס להגרלה זו בין 0 ל-₪80?
        <br>הזיזו את העכבר על פני המלבן ולחצו כדי לבצע בחירה.</p>
        
        <p style=""text-align: center;"">₪40<br>65%</p>

        <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","26","example","60","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","43580","0.0-5.0","53c4bcc9-a8d9-4849-94e3-b2a14024f5a7","null","<p>יפה מאוד!
                <br> בחרתם שתהיו מוכנים לשלם ₪26 כדי להשתתף בהגרלה:
                <br><p style=""text-align: center;"">₪40<br>65%</p>
                <p>נשמע נכון?
                <br>נניח שהגרלה זו נבחרה בסוף הניסוי.
                <br>כעת המחשב יקבע מחיר עבורה באקראי.
                <br>לחצו על העכבר להמשך.</p>","1","example","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","50788","0.0-6.0","53c4bcc9-a8d9-4849-94e3-b2a14024f5a7","null","<p>המחשב קבע מחיר: ₪43
                <br>ואתם בחרתם לשלם לכל היותר: ₪26
                <br><br>מכיוון שהמחיר שבחרתם נמוך מהמחיר שנקבע, לא תתשתתפו בהגרלה.
                <br>במקרה כזה, בסוף הניסוי תקבלו את כל התקציב ההתחלתי של ₪80.
                <br><br>לחצו על העכבר להמשך.</p>","1","example","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","7","58524","0.0-7.0","53c4bcc9-a8d9-4849-94e3-b2a14024f5a7","7482","<p style=""font-size: 42px;"">הנה עוד דוגמא:
                <br>ההגרלה מטה מציעה 35% סיכוי לזכות ב-₪18 
                <br>&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&ensp;65% סיכוי לזכות ב-₪0.</p>
        
                <p style=""text-align: center;"">₪18<br>35%</p>
                <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","5","example","50","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","62740","0.0-8.0","53c4bcc9-a8d9-4849-94e3-b2a14024f5a7","null","<p>הייתם מוכנים לשלם  ₪5 כדי להשתתף בהגרלה:
                <p style=""text-align: center;"">₪18<br>35%</p>
                <p>כעת נניח שהמחשב בחר את ההגרלה הזו בסוף הניסוי, וקבע עבורה מחיר.
                <br><br>לחצו על העכבר כדי להמשיך.</p>","1","instructions","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","69764","0.0-9.0","53c4bcc9-a8d9-4849-94e3-b2a14024f5a7","null","<p>המחשב קבע מחיר להגרלה: ₪3<br>ואתם בחרתם לשלם לכל היותר: ₪5
                <br><br>כעת המחיר שנקבע נמוך מזה שבחרתם, אז תשלמו את המחיר שקבע המחשב (₪3) ותשתתפו בהגרלה.
                <br>במקרה כזה, תסיימו את הניסוי עם תקציב של ₪77 ועם סיכוי לזכות ב-₪18 נוספים מההגרלה.
                <br>כלומר, תוכלו לקבל ₪77 אם לא תזכו בהגרלה, או ₪95 אם תזכו בהגרלה.
                <br><br>לחצו על העכבר להמשך.</p>","1","example","","","","","","","","","","","","","","","","","","","","",""
